E1_1,E1_2,E1_3,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,A1_1,A1_2,A1_3,A2_1,A2_2,A2_3,A3_1,A3_2,A3_3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,N1_1,N1_2,N1_3,N2_1,N2_2,N2_3,N3_1,N3_2,N3_3,O1_1,O1_2,O1_3,O2_1,O2_2,O2_3,O3_1,O3_2,O3_3,PID,day
,1.0,4.0,,1.0,5.0,1.0,1.0,,,3.0,4.0,,3.0,3.0,,3.0,3.0,1.0,4.0,,1.0,,5.0,,5.0,4.0,,1.0,4.0,5.0,1.0,,3.0,3.0,,1.0,,1.0,,3.0,3.0,5.0,1.0,,7,12.239511111111112
,1.0,5.0,1.0,,4.0,1.0,,5.0,3.0,3.0,,,3.0,3.0,3.0,,3.0,,4.0,4.0,1.0,,5.0,2.0,4.0,,5.0,2.0,,5.0,,4.0,,3.0,3.0,2.0,4.0,,,2.0,2.0,4.0,,2.0,7,12.318655555555555
,2.0,3.0,3.0,3.0,,,2.0,2.0,,2.0,3.0,3.0,,2.0,4.0,4.0,,2.0,,4.0,2.0,2.0,,,2.0,4.0,4.0,,2.0,4.0,,4.0,,2.0,4.0,4.0,2.0,,5.0,,5.0,1.0,2.0,,7,12.39808888888889
2.0,,4.0,2.0,,2.0,1.0,,5.0,3.0,,3.0,3.0,3.0,,3.0,3.0,,2.0,,4.0,,1.0,5.0,2.0,4.0,,,1.0,3.0,5.0,,4.0,2.0,,3.0,2.0,,2.0,2.0,2.0,,4.0,2.0,,7,13.003477777777778
,4.0,2.0,,3.0,4.0,2.0,,4.0,,4.0,3.0,2.0,3.0,,3.0,4.0,,,4.0,4.0,2.0,,4.0,3.0,,4.0,,2.0,2.0,,2.0,4.0,3.0,,3.0,2.0,4.0,,,2.0,2.0,,2.0,2.0,7,13.0783
,4.0,2.0,4.0,,2.0,,4.0,1.0,,2.0,2.0,5.0,,2.0,,4.0,2.0,4.0,2.0,,4.0,,1.0,4.0,2.0,,,4.0,5.0,,4.0,2.0,4.0,4.0,,4.0,3.0,,,5.0,4.0,1.0,,5.0,7,13.159033333333333
2.0,,4.0,2.0,,4.0,,2.0,4.0,,2.0,2.0,,4.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,4.0,2.0,4.0,,,1.0,2.0,,3.0,5.0,2.0,,4.0,,4.0,2.0,2.0,,2.0,,2.0,2.0,7,13.322933333333333
4.0,,2.0,2.0,4.0,,4.0,4.0,,,2.0,2.0,4.0,,2.0,4.0,2.0,,4.0,,2.0,2.0,2.0,,4.0,,2.0,2.0,2.0,,2.0,4.0,,4.0,4.0,,4.0,2.0,,4.0,,4.0,3.0,3.0,,7,13.400277777777777
2.0,,4.0,2.0,2.0,,,2.0,2.0,3.0,,2.0,4.0,,2.0,4.0,,2.0,3.0,,2.0,3.0,,4.0,3.0,4.0,,3.0,2.0,,3.0,,4.0,2.0,,4.0,2.0,,2.0,,4.0,4.0,,2.0,3.0,7,14.00371111111111
,4.0,2.0,4.0,4.0,,3.0,2.0,,,2.0,2.0,4.0,4.0,,4.0,2.0,,4.0,2.0,,,5.0,2.0,,3.0,2.0,4.0,,2.0,3.0,3.0,,3.0,,2.0,,3.0,2.0,2.0,,2.0,2.0,2.0,,7,14.090977777777777
2.0,2.0,,,2.0,4.0,2.0,,4.0,,3.0,3.0,4.0,4.0,,,4.0,4.0,4.0,2.0,,4.0,,2.0,,2.0,2.0,,1.0,2.0,,4.0,2.0,,4.0,2.0,4.0,2.0,,4.0,,4.0,2.0,,4.0,7,14.197544444444445
,2.0,2.0,2.0,,4.0,2.0,2.0,,4.0,4.0,,4.0,4.0,,4.0,2.0,,4.0,,2.0,4.0,4.0,,4.0,2.0,,4.0,,3.0,2.0,4.0,,4.0,4.0,,,2.0,4.0,3.0,,3.0,2.0,4.0,,7,14.248166666666666
2.0,,4.0,2.0,,4.0,,2.0,3.0,,2.0,2.0,4.0,,2.0,4.0,,2.0,,2.0,4.0,2.0,2.0,,,4.0,4.0,3.0,3.0,,3.0,4.0,,3.0,4.0,,2.0,4.0,,,3.0,3.0,,3.0,3.0,7,14.319711111111111
5.0,5.0,,4.0,3.0,,,4.0,2.0,4.0,,2.0,,4.0,2.0,,2.0,2.0,2.0,,4.0,,4.0,2.0,,2.0,2.0,,4.0,4.0,2.0,,2.0,4.0,4.0,,4.0,4.0,,,4.0,4.0,2.0,2.0,,7,14.403744444444444
4.0,4.0,,4.0,,2.0,4.0,2.0,,4.0,,4.0,4.0,,2.0,4.0,,2.0,4.0,2.0,,3.0,,2.0,,3.0,4.0,4.0,,2.0,2.0,3.0,,2.0,4.0,,4.0,,4.0,,3.0,3.0,3.0,2.0,,7,15.004033333333334
2.0,,4.0,,3.0,4.0,,3.0,2.0,,2.0,2.0,4.0,4.0,,,2.0,3.0,4.0,3.0,,2.0,,4.0,,4.0,4.0,3.0,,4.0,,4.0,3.0,,3.0,4.0,4.0,,4.0,4.0,4.0,,2.0,,4.0,7,15.087055555555555
4.0,4.0,,3.0,,4.0,4.0,4.0,,4.0,2.0,,4.0,,2.0,4.0,2.0,,4.0,,2.0,4.0,,2.0,,2.0,4.0,,2.0,2.0,,4.0,2.0,,4.0,2.0,4.0,,4.0,,4.0,4.0,1.0,,4.0,7,15.165688888888889
4.0,4.0,,4.0,,2.0,4.0,2.0,,4.0,2.0,,4.0,,2.0,4.0,,2.0,,2.0,2.0,,2.0,3.0,4.0,,2.0,,3.0,3.0,2.0,4.0,,4.0,4.0,,4.0,2.0,,,4.0,4.0,2.0,,4.0,7,15.253588888888888
